data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-09-28,202540,2981.0,2961,3012.0,2945,0.99999005,24.434065,0,4,355030820254020410,2025-11-18,,1.1203854,1.220018E+7,15.3609857142857,95.7328857142857,0,1,2,78.378,51.0713571428571,19.8208,25.8609714285714,399,,,,,1690337
2025-09-21,202539,2417.0,2404,2436.0,2397,6.073146e-05,19.811184,0,4,355030820253920410,2025-11-18,,0.8979793,1.220018E+7,14.8478857142857,89.1310428571429,0,0,2,74.3116285714286,58.8314857142857,17.7459428571429,21.7512,326,,,,,1690337
2025-09-14,202538,2707.0,2698,2721.0,2696,0.9250343,22.188198,0,4,355030820253820410,2025-11-18,,1.0403118,1.220018E+7,14.5428,96.6390571428571,0,0,2,78.6879142857143,50.7736428571429,18.6171857142857,24.5030571428571,348,,,,,1690337
2025-09-07,202537,2808.0,2804,2817.0,2804,0.99999917,23.016054,0,4,355030820253720410,2025-11-18,,1.1410304,1.220018E+7,14.0277142857143,95.5419857142857,0,1,2,77.1300714285714,52.9726857142857,17.8039,23.1035285714286,410,,,,,1690337
2025-08-31,202536,2684.0,2684,2684.0,2684,0.9999967,21.999676,0,4,355030820253620410,2025-11-18,,1.13537,1.220018E+7,14.4707714285714,93.7453428571429,0,1,2,76.4517285714286,53.1881714285714,18.4325857142857,23.3995428571429,317,,,,,1690337
2025-08-24,202535,2315.0,2315,2315.0,2315,0.8729575,18.97513,0,4,355030820253520410,2025-11-18,,1.0343812,1.220018E+7,14.6110714285714,96.6113714285714,0,0,2,84.9786857142857,64.6835857142857,17.0658857142857,21.1179285714286,270,,,,,1690337
2025-08-17,202534,2509.0,2509,2509.0,2509,1.0,20.56527,0,4,355030820253420410,2025-11-18,,1.1852895,1.220018E+7,15.1005571428571,87.7852142857143,0,1,2,69.2010571428571,43.9516142857143,19.6411,25.9516285714286,336,,,,,1690337
2025-08-10,202533,2218.0,2218,2218.0,2218,0.9782879,18.18006,0,4,355030820253320410,2025-11-18,,1.0635164,1.220018E+7,9.65362857142857,95.7062285714286,0,1,2,81.1542857142857,57.8841714285714,13.0453857142857,17.8397714285714,301,,,,,1690337
2025-08-03,202532,2075.0,2075,2075.0,2075,0.17002785,17.007946,0,4,355030820253220410,2025-11-18,,0.97102815,1.220018E+7,12.0863,92.9582,0,0,2,77.2523428571428,52.4703285714286,15.8098285714286,20.5122571428571,325,,,,,1690337
2025-07-27,202531,2019.0,2019,2019.0,2019,0.00139989,16.548937,0,4,355030820253120410,2025-11-18,,0.91217315,1.220018E+7,10.0329714285714,91.3491142857143,0,0,2,71.9230428571429,46.1065714285714,15.0700285714286,21.1178571428571,298,,,,,1690337
2025-07-20,202530,2192.0,2192,2192.0,2192,0.011174914,17.966948,0,4,355030820253020410,2025-11-18,,0.9344143,1.220018E+7,12.0526571428571,98.4337428571429,0,0,2,84.2703142857143,58.0095428571429,15.5643142857143,20.6521428571429,328,,,,,1690337
2025-07-13,202529,2171.0,2171,2171.0,2171,3.5089598e-11,17.794819,0,4,355030820252920410,2025-11-18,,0.8279823,1.220018E+7,10.3823428571429,92.7409285714286,0,0,2,75.5558857142857,49.0716428571429,14.7536714285714,20.1675428571429,376,,,,,1690337
2025-07-06,202528,2320.0,2320,2320.0,2320,0.0,19.016113,0,4,355030820252820410,2025-11-18,,0.7477967,1.220018E+7,10.8155428571429,98.8638714285714,0,0,2,85.7263857142857,59.8475285714286,13.9526285714286,18.5092142857143,373,,,,,1690337
2025-06-29,202527,2451.0,2451,2451.0,2451,0.0,20.089867,0,4,355030820252720410,2025-11-18,,0.64877486,1.220018E+7,12.2837714285714,96.6529,0,0,2,87.5771857142857,76.1660857142857,14.0966571428571,16.5229285714286,459,,,,,1690337
2025-06-22,202526,3087.0,3087,3087.0,3087,0.0,25.302906,0,4,355030820252620410,2025-11-18,,0.6371054,1.220018E+7,12.6269571428571,93.1455,0,0,2,78.1570571428571,55.8982142857143,16.1175857142857,21.3964428571429,533,,,,,1690337
2025-06-15,202525,3682.0,3682,3682.0,3682,0.0,30.179882,0,4,355030820252520410,2025-11-18,,0.5700085,1.220018E+7,12.1197285714286,86.9368714285714,0,0,2,72.3846857142857,50.9522428571429,16.7261571428571,22.4968142857143,602,,,,,1690337
2025-06-08,202524,4285.0,4285,4285.0,4285,0.0,35.122433,0,4,355030820252420410,2025-11-18,,0.50722986,1.220018E+7,11.6457285714286,97.1763428571429,0,0,2,87.0923428571429,68.6215285714286,14.0491142857143,17.4394,910,,,,,1690337
2025-06-01,202523,6590.0,6590,6590.0,6590,0.0,54.0156,0,4,355030820252320410,2025-11-18,,0.62006485,1.220018E+7,14.3875571428571,97.7971428571429,0,0,2,85.7831428571429,66.0774285714286,17.3938285714286,21.645,1349,,,,,1690337
2025-05-25,202522,8021.0,8021,8021.0,8021,0.0,65.744934,0,4,355030820252220410,2025-11-18,,0.63536376,1.220018E+7,13.1749571428571,89.8251428571429,0,0,2,75.4035285714286,51.5595142857143,17.0132714285714,22.0823,1781,,,,,1690337
2025-05-18,202521,11036.0,11036,,11036,0.0,90.45768,0,4,355030820252120410,2025-11-18,,0.7686548,1.220018E+7,15.6739142857143,93.0108571428571,0,0,2,82.2792714285714,64.4570142857143,18.6027714285714,22.4795857142857,2308,,,,,1690337
2025-05-11,202520,12685.0,12685,,12685,0.0,103.97388,0,4,355030820252020410,2025-11-18,,0.79739386,1.220018E+7,14.1368,98.1446857142857,0,0,2,85.8186142857143,63.4455857142857,16.9597571428571,20.6818,2860,,,,,1690337
